Year,Units,Индикатор,Value
2016,%,"Consumer Prices, Food Indices (2015 = 100)",-1.4
2017,%,"Consumer Prices, Food Indices (2015 = 100)",-0.4
2018,%,"Consumer Prices, Food Indices (2015 = 100)",2.1
2019,%,"Consumer Prices, Food Indices (2015 = 100)",3.5
2020,%,"Consumer Prices, Food Indices (2015 = 100)",4.8
2021,%,"Consumer Prices, Food Indices (2015 = 100)",12.3
2022,%,"Consumer Prices, Food Indices (2015 = 100)",22.0
2023,%,"Consumer Prices, Food Indices (2015 = 100)",24.4
2024,%,"Consumer Prices, Food Indices (2015 = 100)",24.8
2015,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",0.75
2016,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",0.59
2017,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",1.06
2018,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-0.11
2019,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-0.1
2020,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-0.27
2021,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",1.68
2022,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",0.91
2023,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-1.12
2015,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",0.49
2016,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-0.9
2017,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-0.45
2018,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-0.39
2019,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-0.32
2020,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",0.63
2021,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",0.07
2022,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",0.51
2023,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-2.32
2024,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",1.23
