Year,Units,Пол,Value
2015,"на 1,000 живорожденных",,10.4
2016,"на 1,000 живорожденных",,10.1
2017,"на 1,000 живорожденных",,9.6
2018,"на 1,000 живорожденных",,8.7
2019,"на 1,000 живорожденных",,7.5
2020,"на 1,000 живорожденных",,8.2
2021,"на 1,000 живорожденных",,8.1
2015,"на 1,000 живорожденных",мальчик,11.2
2016,"на 1,000 живорожденных",мальчик,11.5
2017,"на 1,000 живорожденных",мальчик,10.6
2018,"на 1,000 живорожденных",мальчик,9.1
2019,"на 1,000 живорожденных",мальчик,8.1
2020,"на 1,000 живорожденных",мальчик,9.2
2021,"на 1,000 живорожденных",мальчик,9.0
2015,"на 1,000 живорожденных",девочка,9.5
2016,"на 1,000 живорожденных",девочка,8.5
2017,"на 1,000 живорожденных",девочка,8.5
2018,"на 1,000 живорожденных",девочка,8.1
2019,"на 1,000 живорожденных",девочка,6.9
2020,"на 1,000 живорожденных",девочка,7.1
2021,"на 1,000 живорожденных",девочка,7.1
2015,"на 1,000 живорожденных",город,9.6
2016,"на 1,000 живорожденных",город,8.9
2017,"на 1,000 живорожденных",город,8.3
2018,"на 1,000 живорожденных",город,8.3
2019,"на 1,000 живорожденных",город,6.2
2020,"на 1,000 живорожденных",город,7.0
2021,"на 1,000 живорожденных",город,7.9
2022,"на 1,000 живорожденных",город,8.5
2015,"на 1,000 живорожденных",село,12.0
2016,"на 1,000 живорожденных",село,12.2
2017,"на 1,000 живорожденных",село,12.1
2018,"на 1,000 живорожденных",село,9.3
2019,"на 1,000 живорожденных",село,10.0
2020,"на 1,000 живорожденных",село,11.1
2021,"на 1,000 живорожденных",село,8.4
2022,"на 1,000 живорожденных",село,6.3
2022,"на 1,000 живорожденных",мальчик,8.9
2022,"на 1,000 живорожденных",девочка,5.9
2022,"на 1,000 живорожденных",,7.5
2023,"на 1,000 живорожденных",город,8.0
2023,"на 1,000 живорожденных",село,7.6
2023,"на 1,000 живорожденных",мальчик,8.6
2023,"на 1,000 живорожденных",девочка,6.9
2023,"на 1,000 живорожденных",,7.8
2024,"на 1,000 живорожденных",,7.4
2024,"на 1,000 живорожденных",город,9.6
2024,"на 1,000 живорожденных",село,4.8
2024,"на 1,000 живорожденных",мальчик,8.6
2024,"на 1,000 живорожденных",девочка,6.0
