Year,Units,Категория,Пол,Value
2015,"на 1,000 живорожденных",0-28 дней,Total,6.3
2016,"на 1,000 живорожденных",0-28 дней,Total,6.1
2017,"на 1,000 живорожденных",0-28 дней,Total,6.2
2018,"на 1,000 живорожденных",0-28 дней,Total,5.0
2019,"на 1,000 живорожденных",0-28 дней,Total,4.7
2020,"на 1,000 живорожденных",0-28 дней,Total,5.6
2021,"на 1,000 живорожденных",0-28 дней,Total,4.9
2015,"на 1,000 живорожденных",0-28 дней,boy,6.5
2016,"на 1,000 живорожденных",0-28 дней,boy,7.1
2017,"на 1,000 живорожденных",0-28 дней,boy,6.8
2018,"на 1,000 живорожденных",0-28 дней,boy,5.2
2019,"на 1,000 живорожденных",0-28 дней,boy,5.6
2020,"на 1,000 живорожденных",0-28 дней,boy,6.7
2021,"на 1,000 живорожденных",0-28 дней,boy,5.5
2015,"на 1,000 живорожденных",0-28 дней,girl,6.0
2016,"на 1,000 живорожденных",0-28 дней,girl,5.1
2017,"на 1,000 живорожденных",0-28 дней,girl,5.6
2018,"на 1,000 живорожденных",0-28 дней,girl,4.7
2019,"на 1,000 живорожденных",0-28 дней,girl,3.7
2020,"на 1,000 живорожденных",0-28 дней,girl,4.5
2021,"на 1,000 живорожденных",0-28 дней,girl,4.3
