Year,Units,Value
2015,"на 1,000 неинфицированного населения",0.06
2016,"на 1,000 неинфицированного населения",0.06
2017,"на 1,000 неинфицированного населения",0.06
2018,"на 1,000 неинфицированного населения",0.14
2019,"на 1,000 неинфицированного населения",0.15
2020,"на 1,000 неинфицированного населения",0.12
2021,"на 1,000 неинфицированного населения",0.14
2022,"на 1,000 неинфицированного населения",0.18
2023,"на 1,000 неинфицированного населения",0.17
2024,"на 1,000 неинфицированного населения",0.18
