Year,Units,Категория,Value
2015,"на 100,000 населения",сердечно-сосудистые заболевания,221.9
2016,"на 100,000 населения",сердечно-сосудистые заболевания,239.3
2017,"на 100,000 населения",сердечно-сосудистые заболевания,254.4
2015,"на 100,000 населения",рак,206.3
2016,"на 100,000 населения",рак,189.2
2017,"на 100,000 населения",рак,188.9
2015,"на 100,000 населения",сахарный диабет,34.5
2016,"на 100,000 населения",сахарный диабет,32.6
2017,"на 100,000 населения",сахарный диабет,24.1
2018,"на 100,000 населения",сердечно-сосудистые заболевания,254.0
2018,"на 100,000 населения",рак,176.2
2018,"на 100,000 населения",сахарный диабет,15.9
2018,"на 100,000 населения",хроническая респираторная болезнь,8.7
2015,"на 100,000 населения",хроническая респираторная болезнь,17.1
2016,"на 100,000 населения",хроническая респираторная болезнь,16.2
2017,"на 100,000 населения",хроническая респираторная болезнь,10.3
2019,"на 100,000 населения",сердечно-сосудистые заболевания,245.6
2019,"на 100,000 населения",рак,187.1
2019,"на 100,000 населения",сахарный диабет,13.3
2019,"на 100,000 населения",хроническая респираторная болезнь,12.5
2020,"на 100,000 населения",сердечно-сосудистые заболевания,289.0
2020,"на 100,000 населения",рак,178.5
2020,"на 100,000 населения",сахарный диабет,11.9
2020,"на 100,000 населения",хроническая респираторная болезнь,10.0
2021,"на 100,000 населения",сердечно-сосудистые заболевания,278.7
2021,"на 100,000 населения",рак,173.8
2021,"на 100,000 населения",сахарный диабет,9.3
2021,"на 100,000 населения",хроническая респираторная болезнь,10.8
2022,"на 100,000 населения",сердечно-сосудистые заболевания,242.8
2022,"на 100,000 населения",рак,169.2
2022,"на 100,000 населения",сахарный диабет,10.1
2022,"на 100,000 населения",хроническая респираторная болезнь,7.3
2023,"на 100,000 населения",сердечно-сосудистые заболевания,234.5
2023,"на 100,000 населения",рак,158.6
2023,"на 100,000 населения",сахарный диабет,9.9
2023,"на 100,000 населения",хроническая респираторная болезнь,8.3
2024,"на 100,000 населения",сердечно-сосудистые заболевания,236.7
2024,"на 100,000 населения",рак,155.6
2024,"на 100,000 населения",сахарный диабет,8.1
2024,"на 100,000 населения",хроническая респираторная болезнь,10.0
