Year,Units,Тип,Место нахождения,Value
2015,%,10% суточного потребления домашних хозяйств на душу населения,,22.43
2016,%,10% суточного потребления домашних хозяйств на душу населения,,19.29
2017,%,10% суточного потребления домашних хозяйств на душу населения,,20.98
2018,%,10% суточного потребления домашних хозяйств на душу населения,,20.78
2019,%,10% суточного потребления домашних хозяйств на душу населения,,22.49
2020,%,10% суточного потребления домашних хозяйств на душу населения,,21.0
2021,%,10% суточного потребления домашних хозяйств на душу населения,,15.88
2015,%,10% суточного потребления домашних хозяйств на душу населения,село,16.8
2016,%,10% суточного потребления домашних хозяйств на душу населения,село,14.71
2017,%,10% суточного потребления домашних хозяйств на душу населения,село,15.91
2018,%,10% суточного потребления домашних хозяйств на душу населения,село,17.06
2019,%,10% суточного потребления домашних хозяйств на душу населения,село,20.92
2020,%,10% суточного потребления домашних хозяйств на душу населения,село,20.2
2021,%,10% суточного потребления домашних хозяйств на душу населения,село,16.19
2015,%,10% суточного потребления домашних хозяйств на душу населения,город,25.97
2016,%,10% суточного потребления домашних хозяйств на душу населения,город,22.03
2017,%,10% суточного потребления домашних хозяйств на душу населения,город,24.29
2018,%,10% суточного потребления домашних хозяйств на душу населения,город,23.16
2019,%,10% суточного потребления домашних хозяйств на душу населения,город,23.45
2020,%,10% суточного потребления домашних хозяйств на душу населения,город,21.6
2021,%,10% суточного потребления домашних хозяйств на душу населения,город,15.66
2015,%,25% суточного потребления домашних хозяйств на душу населения,,7.58
2016,%,25% суточного потребления домашних хозяйств на душу населения,,5.75
2017,%,25% суточного потребления домашних хозяйств на душу населения,,7.09
2018,%,25% суточного потребления домашних хозяйств на душу населения,,7.35
2019,%,25% суточного потребления домашних хозяйств на душу населения,,7.86
2020,%,25% суточного потребления домашних хозяйств на душу населения,,5.8
2021,%,25% суточного потребления домашних хозяйств на душу населения,,4.57
2015,%,25% суточного потребления домашних хозяйств на душу населения,село,3.83
2016,%,25% суточного потребления домашних хозяйств на душу населения,село,3.69
2017,%,25% суточного потребления домашних хозяйств на душу населения,село,4.56
2018,%,25% суточного потребления домашних хозяйств на душу населения,село,6.0
2019,%,25% суточного потребления домашних хозяйств на душу населения,село,8.34
2020,%,25% суточного потребления домашних хозяйств на душу населения,село,5.2
2021,%,25% суточного потребления домашних хозяйств на душу населения,село,4.65
2015,%,25% суточного потребления домашних хозяйств на душу населения,город,9.95
2016,%,25% суточного потребления домашних хозяйств на душу населения,город,6.98
2017,%,25% суточного потребления домашних хозяйств на душу населения,город,8.75
2018,%,25% суточного потребления домашних хозяйств на душу населения,город,8.21
2019,%,25% суточного потребления домашних хозяйств на душу населения,город,7.56
2020,%,25% суточного потребления домашних хозяйств на душу населения,город,6.1
2021,%,25% суточного потребления домашних хозяйств на душу населения,город,4.51
2022,%,10% суточного потребления домашних хозяйств на душу населения,,20.1
2022,%,10% суточного потребления домашних хозяйств на душу населения,село,20.88
2022,%,10% суточного потребления домашних хозяйств на душу населения,город,18.91
2022,%,25% суточного потребления домашних хозяйств на душу населения,,6.81
2022,%,25% суточного потребления домашних хозяйств на душу населения,село,5.97
2022,%,25% суточного потребления домашних хозяйств на душу населения,город,7.36
2023,%,10% суточного потребления домашних хозяйств на душу населения,,23.33
2023,%,10% суточного потребления домашних хозяйств на душу населения,село,22.7
2023,%,10% суточного потребления домашних хозяйств на душу населения,город,23.8
2023,%,25% суточного потребления домашних хозяйств на душу населения,,7.76
2023,%,25% суточного потребления домашних хозяйств на душу населения,село,7.21
2023,%,25% суточного потребления домашних хозяйств на душу населения,город,8.14
