Year,Units,Пол,Value
2015,%,,90.9
2016,%,,88.6
2017,%,,87.8
2018,%,,88.24
2019,%,,86.8
2020,%,,91.42
2015,%,мужчина,90.0
2016,%,мужчина,88.1
2017,%,мужчина,88.0
2018,%,мужчина,88.27
2019,%,мужчина,87.68
2020,%,мужчина,90.27
2015,%,женщина,91.9
2016,%,женщина,89.1
2017,%,женщина,89.5
2018,%,женщина,88.19
2019,%,женщина,85.82
2020,%,женщина,92.75
2021,%,,94.72
2021,%,мужчина,94.12
2021,%,женщина,95.39
2022,%,,90.5
2022,%,мужчина,90.1
2022,%,женщина,91.0
2023,%,,104.3
2023,%,мужчина,103.3
2023,%,женщина,105.5
