Year,Units,Возраст,Категория,Value
2015,%,,физическое насилие,4.5
2015,%,,сексуальное насилие,0.3
2021,%,,физическое насилие,3.5
2021,%,,сексуальное насилие,1.9
2021,%,15-24,физическое насилие,3.1
2021,%,25-34,физическое насилие,4.1
2021,%,35-44,физическое насилие,4.0
2021,%,45-59,физическое насилие,2.8
2021,%,15-24,сексуальное насилие,2.5
2021,%,25-34,сексуальное насилие,1.6
2021,%,35-44,сексуальное насилие,2.5
2021,%,45-59,сексуальное насилие,1.6
2021,%,,Physical and or sexual violence,4.6
2021,%,15-24,Physical and or sexual violence,5.7
2021,%,25-34,Physical and or sexual violence,5.0
2021,%,35-44,Physical and or sexual violence,5.3
2021,%,45-59,Physical and or sexual violence,3.8
2021,%,,Psychological violence,13.0
2021,%,15-24,Psychological violence,15.7
2021,%,25-34,Psychological violence,34.8
2021,%,35-44,Psychological violence,29.9
2021,%,45-59,Psychological violence,30.0
