Year,Тип,Units,Value
2015,ALL RENEWABLES,Млн. США доллар,24.72
2015,BIOENERGY,Млн. США доллар,0.0
2015,GEOTHERMAL ENERGY,Млн. США доллар,9.75
2015,HYDROPOWER,Млн. США доллар,14.87
2015,MULTIPLE RENEWABLES,Млн. США доллар,0.1
2015,SOLAR ENERGY,Млн. США доллар,0.0
2016,ALL RENEWABLES,Млн. США доллар,126.49
2016,BIOENERGY,Млн. США доллар,0.0
2016,GEOTHERMAL ENERGY,Млн. США доллар,0.0
2016,HYDROPOWER,Млн. США доллар,73.16
2016,MULTIPLE RENEWABLES,Млн. США доллар,3.4
2016,SOLAR ENERGY,Млн. США доллар,49.93
2017,ALL RENEWABLES,Млн. США доллар,1.63
2017,BIOENERGY,Млн. США доллар,0.09
2017,GEOTHERMAL ENERGY,Млн. США доллар,0.0
2017,HYDROPOWER,Млн. США доллар,1.46
2017,MULTIPLE RENEWABLES,Млн. США доллар,0.08
2017,SOLAR ENERGY,Млн. США доллар,0.0
2018,ALL RENEWABLES,Млн. США доллар,29.37
2018,BIOENERGY,Млн. США доллар,0.0
2018,GEOTHERMAL ENERGY,Млн. США доллар,0.0
2018,HYDROPOWER,Млн. США доллар,0.0
2018,MULTIPLE RENEWABLES,Млн. США доллар,0.05
2018,SOLAR ENERGY,Млн. США доллар,29.32
2019,ALL RENEWABLES,Млн. США доллар,56.91
2019,BIOENERGY,Млн. США доллар,0.0
2019,GEOTHERMAL ENERGY,Млн. США доллар,0.0
2019,HYDROPOWER,Млн. США доллар,0.0
2019,MULTIPLE RENEWABLES,Млн. США доллар,56.88
2019,SOLAR ENERGY,Млн. США доллар,0.03
2020,ALL RENEWABLES,Млн. США доллар,26.98
2020,BIOENERGY,Млн. США доллар,0.0
2020,GEOTHERMAL ENERGY,Млн. США доллар,0.0
2020,HYDROPOWER,Млн. США доллар,0.0
2020,MULTIPLE RENEWABLES,Млн. США доллар,16.97
2020,SOLAR ENERGY,Млн. США доллар,10.01
2021,ALL RENEWABLES,Млн. США доллар,63.99
2021,BIOENERGY,Млн. США доллар,0.0
2021,GEOTHERMAL ENERGY,Млн. США доллар,0.0
2021,HYDROPOWER,Млн. США доллар,0.0
2021,MULTIPLE RENEWABLES,Млн. США доллар,63.85
2021,SOLAR ENERGY,Млн. США доллар,0.14
2022,ALL RENEWABLES,Млн. США доллар,1.13
2022,BIOENERGY,Млн. США доллар,0.0
2022,GEOTHERMAL ENERGY,Млн. США доллар,0.0
2022,HYDROPOWER,Млн. США доллар,0.0
2022,MULTIPLE RENEWABLES,Млн. США доллар,0.12
2022,SOLAR ENERGY,Млн. США доллар,1.01
2023,ALL RENEWABLES,Млн. США доллар,20.58
2023,BIOENERGY,Млн. США доллар,0.0
2023,GEOTHERMAL ENERGY,Млн. США доллар,0.0
2023,HYDROPOWER,Млн. США доллар,0.0
2023,MULTIPLE RENEWABLES,Млн. США доллар,19.59
2023,SOLAR ENERGY,Млн. США доллар,0.99
