Year,Units,Value
2015,"Отделения банков на 100,000 взрослых",21.6
2016,"Отделения банков на 100,000 взрослых",21.9
2017,"Отделения банков на 100,000 взрослых",22.1
2018,"Отделения банков на 100,000 взрослых",22.7
2019,"Отделения банков на 100,000 взрослых",23.3
2020,"Отделения банков на 100,000 взрослых",23.6
2021,"Отделения банков на 100,000 взрослых",23.4
2022,"Отделения банков на 100,000 взрослых",23.4
2015,"Банкоматы на 100,000 взрослых",58.8
2016,"Банкоматы на 100,000 взрослых",58.6
2017,"Банкоматы на 100,000 взрослых",61.1
2018,"Банкоматы на 100,000 взрослых",64.9
2019,"Банкоматы на 100,000 взрослых",67.9
2020,"Банкоматы на 100,000 взрослых",67.8
2021,"Банкоматы на 100,000 взрослых",70.5
2022,"Банкоматы на 100,000 взрослых",69.6
