Year,Units,Возраст,Пол,Место нахождения,Категория,Value
2015,%,,,,,17.9
2016,%,,,,,18.1
2017,%,,,,,18.3
2018,%,,,,,21.2
2019,%,,,,,18.1
2020,%,,,,,15.3
2020,%,,,,,15.7
2015,%,,мужчина,,,23.1
2016,%,,мужчина,,,22.0
2017,%,,мужчина,,,21.9
2018,%,,мужчина,,,26.9
2019,%,,мужчина,,,23.2
2020,%,,мужчина,,,21.3
2015,%,,женщина,,,11.2
2016,%,,женщина,,,13.3
2017,%,,женщина,,,13.9
2018,%,,женщина,,,14.1
2019,%,,женщина,,,12.1
2020,%,,женщина,,,9.1
2020,%,15-29,,,,12.1
2018,%,15-64,,,,21.5
2018,%,15-29,,,,21.2
2018,%,30-44,,,,22.6
2018,%,45-59,,,,22.7
2018,%,60-74,,,,12.7
2019,%,15-64,,,,18.4
2019,%,15-29,,,,17.3
2019,%,30-44,,,,18.8
2019,%,45-59,,,,19.3
2019,%,60-74,,,,15.0
2020,%,30-44,,,,17.7
2020,%,45-59,,,,16.3
2020,%,60-74,,,,11.2
2021,%,,,,,14.3
2021,%,,мужчина,,,20.3
2021,%,,женщина,,,7.9
2021,%,15-64,,,,14.7
2021,%,15-29,,,,12.3
2021,%,30-44,,,,15.7
2021,%,45-59,,,,15.8
2021,%,60-74,,,,10.7
2020,%,15-64,,,,15.7
2018,%,,,город,,19.1
2019,%,,,город,,17.0
2020,%,,,город,,15.8
2021,%,,,город,,13.8
2018,%,,,село,,26.0
2019,%,,,село,,21.5
2020,%,,,село,,14.2
2021,%,,,село,,15.7
2018,%,,,,with disabilities ,19.3
2019,%,,,,with disabilities ,21.9
2020,%,,,,with disabilities ,19.1
2021,%,,,,with disabilities ,16.2
