Year,Units,тип бедствия,Value
2015,"на 100,000 населения",,321.8
2016,"на 100,000 населения",,320.0
2017,"на 100,000 населения",,370.6
2018,"на 100,000 населения",,401.4
2019,"на 100,000 населения",,448.7
2020,"на 100,000 населения",,5761.4
2015,"на 100,000 населения",стихийные опасные явления,0.4
2016,"на 100,000 населения",стихийные опасные явления,0.2
2017,"на 100,000 населения",стихийные опасные явления,0.2
2018,"на 100,000 населения",стихийные опасные явления,0.2
2019,"на 100,000 населения",стихийные опасные явления,0.4
2020,"на 100,000 населения",стихийные опасные явления,0.2
2015,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,172.7
2016,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,161.1
2017,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,186.8
2018,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,224.8
2019,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,257.5
2020,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,218.4
2015,"на 100,000 населения",социально-биологические чрезвычайные происшествия,148.6
2016,"на 100,000 населения",социально-биологические чрезвычайные происшествия,158.7
2017,"на 100,000 населения",социально-биологические чрезвычайные происшествия,183.6
2018,"на 100,000 населения",социально-биологические чрезвычайные происшествия,176.5
2019,"на 100,000 населения",социально-биологические чрезвычайные происшествия,190.8
2020,"на 100,000 населения",социально-биологические чрезвычайные происшествия,5542.8
2021,"на 100,000 населения",,6630.0
2021,"на 100,000 населения",стихийные опасные явления,0.4
2021,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,248.7
2021,"на 100,000 населения",социально-биологические чрезвычайные происшествия,6380.9
2022,"на 100,000 населения",,3749.5
2022,"на 100,000 населения",стихийные опасные явления,0.3
2022,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,234.0
2022,"на 100,000 населения",социально-биологические чрезвычайные происшествия,3515.1
2023,"на 100,000 населения",,557.5
2023,"на 100,000 населения",стихийные опасные явления,0.4
2023,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,246.9
2023,"на 100,000 населения",социально-биологические чрезвычайные происшествия,310.3
2024,"на 100,000 населения",,448.7
2024,"на 100,000 населения",стихийные опасные явления,19.1
2024,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,234.5
2024,"на 100,000 населения",социально-биологические чрезвычайные происшествия,195.0
