Year,Units,тип бедствия,Value
2020,"на 100,000 населения",стихийные бедствия,
2020,"на 100,000 населения",техногенные бедствия,
2020,"на 100,000 населения",социально-биологические бедствия,5393.9
2021,"на 100,000 населения",стихийные бедствия,
2021,"на 100,000 населения",техногенные бедствия,
2021,"на 100,000 населения",социально-биологические бедствия,6253.3
2022,"на 100,000 населения",стихийные бедствия,
2022,"на 100,000 населения",техногенные бедствия,
2022,"на 100,000 населения",социально-биологические бедствия,3409.3
2023,"на 100,000 населения",стихийные бедствия,
2023,"на 100,000 населения",техногенные бедствия,
2023,"на 100,000 населения",социально-биологические бедствия,197.7
2024,"на 100,000 населения",стихийные бедствия,14.8
2024,"на 100,000 населения",техногенные бедствия,
2024,"на 100,000 населения",социально-биологические бедствия,88.6
2020,"на 100,000 населения",,5393.9
2021,"на 100,000 населения",,6253.3
2022,"на 100,000 населения",,3409.3
2023,"на 100,000 населения",,197.7
2024,"на 100,000 населения",,103.4
