Year,Units,Агентство,Value
2015,%,ВТО,0.625
2016,%,ВТО,0.61728
2017,%,ВТО,0.60976
2018,%,ВТО,0.60976
2019,%,ВТО,0.60976
2020,%,ВТО,0.60976
2021,%,ВТО,0.60976
2015,%,ГАООН,0.51813
2016,%,ГАООН,0.51813
2017,%,ГАООН,0.51813
2018,%,ГАООН,0.51813
2019,%,ГАООН,0.51813
2020,%,ГАООН,0.51813
2021,%,ГАООН,0.51813
2022,%,ГАООН,0.51813
2015,%,МБРР,0.53191
2016,%,МБРР,0.53191
2019,%,МБРР,0.53191
2017,%,МБРР,0.53191
2018,%,МБРР,0.53191
2020,%,МБРР,0.53191
2021,%,МБРР,0.53191
2015,%,МВФ,0.53191
2016,%,МВФ,0.53191
2017,%,МВФ,0.53191
2018,%,МВФ,0.53191
2019,%,МВФ,0.53191
2020,%,МВФ,0.53191
2021,%,МВФ,0.52632
2022,%,МВФ,0.52632
2015,%,МФК,0.54348
2016,%,МФК,0.54348
2017,%,МФК,0.54348
2018,%,МФК,0.54348
2019,%,МФК,0.5435
2020,%,МФК,0.54054
2021,%,МФК,0.54054
2022,%,МФК,0.53763
2019,%,ЕКАСОС,1.85185
2020,%,ЕКАСОС,1.85185
2021,%,ЕКАСОС,1.85185
2015,%,АзБР,1.4925
2016,%,АзБР,1.4925
2017,%,АзБР,1.4925
2018,%,АзБР,1.4925
2019,%,АзБР,1.47059
2020,%,АзБР,1.47059
2021,%,АзБР,1.47059
2022,%,АзБР,1.47059
2022,%,ВТО,0.60976
