Year,Сфера политики,Value
2019,Сфера 1. Права мигрантов,3
2019,Сфера 2. Правительственная/основанная на фактах политики,3
2019,Сфера 3. Сотрудничество и партнёрство,4
2019,Сфера 4. Социально-экономическое благополучие,2
2019,Сфера 5. Мобильность в условиях кризисов,4
2019,"Сфера 6. Безопасная, упорядоченная и регулярная миграция",4
2021,Сфера 1. Права мигрантов,3
2021,Сфера 2. Правительственная/основанная на фактах политики,3
2021,Сфера 3. Сотрудничество и партнёрство,4
2021,Сфера 4. Социально-экономическое благополучие,2
2021,Сфера 5. Мобильность в условиях кризисов,4
2021,"Сфера 6. Безопасная, упорядоченная и регулярная миграция",4
