Year,Units,Категория,Тип,Value
2015,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,9e-05
2016,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,0.0
2017,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,0.0001
2018,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,1e-05
2019,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,-0.0003
2020,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,-0.0003
2021,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,-0.0004
2022,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,-0.0004
2023,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,-0.0003
2024,тонны,Внутреннее материальное потребление по видам сырья,Отходы для окончательной обработки и удаления,-0.0003
2015,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,14.0
2016,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,17.8
2017,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,18.2
2018,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,16.3
2019,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,19.5
2020,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,21.7
2021,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,22.6
2022,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,21.7
2023,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,20.1
2024,тонны,Внутреннее материальное потребление по видам сырья,Всего или без разбивки,20.4
2015,тонны,Внутреннее материальное потребление по видам сырья,Биомасса,3.0
2016,тонны,Внутреннее материальное потребление по видам сырья,Биомасса,2.8
2017,тонны,Внутреннее материальное потребление по видам сырья,Биомасса,2.6
2018,тонны,Внутреннее материальное потребление по видам сырья,Биомасса,2.3
2019,тонны,Внутреннее материальное потребление по видам сырья,Биомасса,2.2
2020,тонны,Внутреннее материальное потребление по видам сырья,Биомасса,2.3
2021,тонны,Внутреннее материальное потребление по видам сырья,Биомасса,2.3
2022,тонны,Внутреннее материальное потребление по видам сырья,Биомасса,2.1
