Year,Units,Series,Value
2015,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,0.283
2016,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,0.196
2017,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,0.184
2018,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,0.035
2019,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,0.032
2020,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,0.092
2015,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство),0.032
2016,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство),0.022
2017,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство),0.022
2018,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство),0.004
2019,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство),0.004
2020,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство),0.012
2015,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения,10.8
2016,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения,7.5
2017,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения,7.6
2018,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения,1.5
2019,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения,1.5
2020,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения,4.0
