Year,Units,Membership,Value
2015,%,Конвенция ООН по морскому праву,100
2016,%,Конвенция ООН по морскому праву,100
2017,%,Конвенция ООН по морскому праву,100
2018,%,Конвенция ООН по морскому праву,100
2019,%,Конвенция ООН по морскому праву,100
2020,%,Конвенция ООН по морскому праву,100
2021,%,Конвенция ООН по морскому праву,100
2022,%,Конвенция ООН по морскому праву,100
2015,%,Part_XI,100
2016,%,Part_XI,100
2017,%,Part_XI,100
2018,%,Part_XI,100
2019,%,Part_XI,100
2020,%,Part_XI,100
2021,%,Part_XI,100
2022,%,Part_XI,100
