Year,Units,Тип,Value
2015,%,Общая площадь особо охраняемых природных территорий в процентах от площади страны,13
2015,единица,Общее количество государственных заповедников (категория Ib),3
2015,%,Общая площадь государственных заповедников (категория Iб) в % от территории страны,1
2015,единица,Общее количество национальных парков (категория II),4
2015,%,Общая площадь национальных парков (категория II ) в % от территории страны,8
2015,единица,Общее количество государственных заповедников  (категория IV),27
2015,%,Общая площадь государственных заповедников (категория IV) в % от территории страны,4
2015,единица,Общее количество памятников природы (категория III ),232
2016,%,Общая площадь особо охраняемых природных территорий в процентах от площади страны,13
2016,единица,Общее количество государственных заповедников (категория Ib),3
2016,%,Общая площадь государственных заповедников (категория Iб) в % от территории страны,1
2016,единица,Общее количество национальных парков (категория II),4
2016,%,Общая площадь национальных парков (категория II ) в % от территории страны,8
2016,единица,Общее количество государственных заповедников  (категория IV),27
2016,%,Общая площадь государственных заповедников (категория IV) в % от территории страны,4
2016,единица,Общее количество памятников природы (категория III ),232
2017,%,Общая площадь особо охраняемых природных территорий в процентах от площади страны,13
2017,единица,Общее количество государственных заповедников (категория Ib),3
2017,%,Общая площадь государственных заповедников (категория Iб) в % от территории страны,1
2017,единица,Общее количество национальных парков (категория II),4
2017,%,Общая площадь национальных парков (категория II ) в % от территории страны,8
2017,единица,Общее количество государственных заповедников  (категория IV),27
2017,%,Общая площадь государственных заповедников (категория IV) в % от территории страны,4
2017,единица,Общее количество памятников природы (категория III ),232
2018,%,Общая площадь особо охраняемых природных территорий в процентах от площади страны,13
2018,единица,Общее количество государственных заповедников (категория Ib),3
2018,%,Общая площадь государственных заповедников (категория Iб) в % от территории страны,1
2018,единица,Общее количество национальных парков (категория II),4
2018,%,Общая площадь национальных парков (категория II ) в % от территории страны,8
2018,единица,Общее количество государственных заповедников  (категория IV),27
2018,%,Общая площадь государственных заповедников (категория IV) в % от территории страны,4
2018,единица,Общее количество памятников природы (категория III ),232
2019,%,Общая площадь особо охраняемых природных территорий в процентах от площади страны,13
2019,единица,Общее количество государственных заповедников (категория Ib),3
2019,%,Общая площадь государственных заповедников (категория Iб) в % от территории страны,1
2019,единица,Общее количество национальных парков (категория II),4
2019,%,Общая площадь национальных парков (категория II ) в % от территории страны,8
2019,единица,Общее количество государственных заповедников  (категория IV),27
2019,%,Общая площадь государственных заповедников (категория IV) в % от территории страны,4
2019,единица,Общее количество памятников природы (категория III ),232
2020,%,Общая площадь особо охраняемых природных территорий в процентах от площади страны,13
2020,единица,Общее количество государственных заповедников (категория Ib),3
2020,%,Общая площадь государственных заповедников (категория Iб) в % от территории страны,1
2020,единица,Общее количество национальных парков (категория II),4
2020,%,Общая площадь национальных парков (категория II ) в % от территории страны,8
2020,единица,Общее количество государственных заповедников  (категория IV),27
2020,%,Общая площадь государственных заповедников (категория IV) в % от территории страны,4
2020,единица,Общее количество памятников природы (категория III ),232
