Year,Units,Тип,Value
2015,%,Доля общих охраняемых территорий от общей площади страны,13
2015,единица,"Государственные заповедники (категория Ib), количество",3
2015,%,Доля государственных заповедников (категория Ib) в общей площади страны,1
2015,единица,"Национальные парки (категория II), количество",4
2015,%,Доля национальных парков (категория II) в общей площади страны,8
2015,единица,"Государственные заказники (категория IV), количество",27
2015,%,Доля государственных заказников (категория IV) в общей площади страны,4
2015,единица,"Памятники природы (категория III), количество",232
2016,%,Доля общих охраняемых территорий от общей площади страны,13
2016,единица,"Государственные заповедники (категория Ib), количество",3
2016,%,Доля государственных заповедников (категория Ib) в общей площади страны,1
2016,единица,"Национальные парки (категория II), количество",4
2016,%,Доля национальных парков (категория II) в общей площади страны,8
2016,единица,"Государственные заказники (категория IV), количество",27
2016,%,Доля государственных заказников (категория IV) в общей площади страны,4
2016,единица,"Памятники природы (категория III), количество",232
2017,%,Доля общих охраняемых территорий от общей площади страны,13
2017,единица,"Государственные заповедники (категория Ib), количество",3
2017,%,Доля государственных заповедников (категория Ib) в общей площади страны,1
2017,единица,"Национальные парки (категория II), количество",4
2017,%,Доля национальных парков (категория II) в общей площади страны,8
2017,единица,"Государственные заказники (категория IV), количество",27
2017,%,Доля государственных заказников (категория IV) в общей площади страны,4
2017,единица,"Памятники природы (категория III), количество",232
2018,%,Доля общих охраняемых территорий от общей площади страны,13
2018,единица,"Государственные заповедники (категория Ib), количество",3
2018,%,Доля государственных заповедников (категория Ib) в общей площади страны,1
2018,единица,"Национальные парки (категория II), количество",4
2018,%,Доля национальных парков (категория II) в общей площади страны,8
2018,единица,"Государственные заказники (категория IV), количество",27
2018,%,Доля государственных заказников (категория IV) в общей площади страны,4
2018,единица,"Памятники природы (категория III), количество",232
2019,%,Доля общих охраняемых территорий от общей площади страны,13
2019,единица,"Государственные заповедники (категория Ib), количество",3
2019,%,Доля государственных заповедников (категория Ib) в общей площади страны,1
2019,единица,"Национальные парки (категория II), количество",4
2019,%,Доля национальных парков (категория II) в общей площади страны,8
2019,единица,"Государственные заказники (категория IV), количество",27
2019,%,Доля государственных заказников (категория IV) в общей площади страны,4
2019,единица,"Памятники природы (категория III), количество",232
