Year,Индикатор,Units,Value
2010,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species","да=1, нет=0",1
2016,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species","да=1, нет=0",1
2020,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species","да=1, нет=0",1
2022,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species","да=1, нет=0",1
2010,Национальная стратегия и планы действий в области биоразнообразия (НСБ) по достижению Цели 9 Стратегического плана по биоразнообразию на 2011–2020 годы,"да=1, нет=0",0
2016,Национальная стратегия и планы действий в области биоразнообразия (НСБ) по достижению Цели 9 Стратегического плана по биоразнообразию на 2011–2020 годы,"да=1, нет=0",1
2020,Национальная стратегия и планы действий в области биоразнообразия (НСБ) по достижению Цели 9 Стратегического плана по биоразнообразию на 2011–2020 годы,"да=1, нет=0",1
2022,Национальная стратегия и планы действий в области биоразнообразия (НСБ) по достижению Цели 9 Стратегического плана по биоразнообразию на 2011–2020 годы,"да=1, нет=0",1
2010,"Страны, получающие средства из национального бюджета на борьбу с угрозой инвазивных чужеродных видов","да=1, нет=0",0
2016,"Страны, получающие средства из национального бюджета на борьбу с угрозой инвазивных чужеродных видов","да=1, нет=0",0
2020,"Страны, получающие средства из национального бюджета на борьбу с угрозой инвазивных чужеродных видов","да=1, нет=0",0
2022,"Страны, получающие средства из национального бюджета на борьбу с угрозой инвазивных чужеродных видов","да=1, нет=0",0
2010,"Страны-получатели глобального финансирования, имеющие доступ к любому финансированию из глобальных финансовых механизмов для проектов, связанных с борьбой с инвазивными чужеродными видами","да=1, нет=0",0
2016,"Страны-получатели глобального финансирования, имеющие доступ к любому финансированию из глобальных финансовых механизмов для проектов, связанных с борьбой с инвазивными чужеродными видами","да=1, нет=0",0
2020,"Страны-получатели глобального финансирования, имеющие доступ к любому финансированию из глобальных финансовых механизмов для проектов, связанных с борьбой с инвазивными чужеродными видами","да=1, нет=0",0
2022,"Страны-получатели глобального финансирования, имеющие доступ к любому финансированию из глобальных финансовых механизмов для проектов, связанных с борьбой с инвазивными чужеродными видами","да=1, нет=0",0
