Year,Units,Пол,Возраст,Value
2015,per 100 000 population,всего,15-34 лет,1.5
2015,per 100 000 population,всего,35-59 лет,1.9
2015,per 100 000 population,всего,60 лет и старше,1.0
2015,per 100 000 population,мужчина,15-34 лет,2.5
2015,per 100 000 population,мужчина,35-59 лет,2.4
2015,per 100 000 population,мужчина,60 лет и старше,1.0
2015,per 100 000 population,женщина,15-34 лет,0.4
2015,per 100 000 population,женщина,35-59 лет,1.5
2015,per 100 000 population,женщина,60 лет и старше,1.1
2016,per 100 000 population,всего,15-34 лет,1.8
2016,per 100 000 population,всего,35-59 лет,1.1
2016,per 100 000 population,всего,60 лет и старше,1.2
2016,per 100 000 population,мужчина,15-34 лет,3.1
2016,per 100 000 population,мужчина,35-59 лет,2.0
2016,per 100 000 population,мужчина,60 лет и старше,1.5
2016,per 100 000 population,женщина,15-34 лет,0.6
2016,per 100 000 population,женщина,35-59 лет,0.4
2016,per 100 000 population,женщина,60 лет и старше,1.0
2017,per 100 000 population,всего,15-34 лет,1.4
2017,per 100 000 population,всего,35-59 лет,2.0
2017,per 100 000 population,всего,60 лет и старше,1.0
2017,per 100 000 population,мужчина,15-34 лет,2.9
2017,per 100 000 population,мужчина,35-59 лет,3.6
2017,per 100 000 population,мужчина,60 лет и старше,1.0
2017,per 100 000 population,женщина,15-34 лет,0.0
2017,per 100 000 population,женщина,35-59 лет,0.6
2017,per 100 000 population,женщина,60 лет и старше,1.0
2018,per 100 000 population,всего,15-34 лет,0.2
2018,per 100 000 population,всего,35-59 лет,0.5
2018,per 100 000 population,всего,60 лет и старше,0.4
2018,per 100 000 population,мужчина,15-34 лет,0.5
2018,per 100 000 population,мужчина,35-59 лет,0.9
2018,per 100 000 population,мужчина,60 лет и старше,0.9
2018,per 100 000 population,женщина,15-34 лет,0.0
2018,per 100 000 population,женщина,35-59 лет,0.2
2018,per 100 000 population,женщина,60 лет и старше,0.0
2019,per 100 000 population,всего,15-34 лет,1.2
2019,per 100 000 population,всего,35-59 лет,0.8
2019,per 100 000 population,всего,60 лет и старше,1.1
2019,per 100 000 population,мужчина,15-34 лет,2.4
2019,per 100 000 population,мужчина,35-59 лет,1.6
2019,per 100 000 population,мужчина,60 лет и старше,1.3
2019,per 100 000 population,женщина,15-34 лет,0.0
2019,per 100 000 population,женщина,35-59 лет,0.2
2019,per 100 000 population,женщина,60 лет и старше,0.9
2020,per 100 000 population,всего,15-34 лет,1.2
2020,per 100 000 population,всего,35-59 лет,0.2
2020,per 100 000 population,всего,60 лет и старше,1.1
2020,per 100 000 population,мужчина,15-34 лет,2.4
2020,per 100 000 population,мужчина,35-59 лет,0.5
2020,per 100 000 population,мужчина,60 лет и старше,1.7
2020,per 100 000 population,женщина,15-34 лет,0.0
2020,per 100 000 population,женщина,35-59 лет,0.0
2020,per 100 000 population,женщина,60 лет и старше,0.6
2021,per 100 000 population,всего,15-34 лет,0.7
2021,per 100 000 population,всего,35-59 лет,0.9
2021,per 100 000 population,всего,60 лет и старше,1.0
2021,per 100 000 population,мужчина,15-34 лет,1.5
2021,per 100 000 population,мужчина,35-59 лет,1.8
2021,per 100 000 population,мужчина,60 лет и старше,0.9
2021,per 100 000 population,женщина,15-34 лет,0.0
2021,per 100 000 population,женщина,35-59 лет,0.2
2021,per 100 000 population,женщина,60 лет и старше,1.2
2022,per 100 000 population,всего,15-34 лет,2.9
2022,per 100 000 population,всего,35-59 лет,1.1
2022,per 100 000 population,всего,60 лет и старше,1.2
2022,per 100 000 population,мужчина,15-34 лет,5.0
2022,per 100 000 population,мужчина,35-59 лет,1.8
2022,per 100 000 population,мужчина,60 лет и старше,1.2
2022,per 100 000 population,женщина,15-34 лет,0.8
2022,per 100 000 population,женщина,35-59 лет,0.6
2022,per 100 000 population,женщина,60 лет и старше,1.1
2023,per 100 000 population,всего,15-34 лет,0.4
2023,per 100 000 population,всего,35-59 лет,1.4
2023,per 100 000 population,всего,60 лет и старше,0.1
2023,per 100 000 population,мужчина,15-34 лет,0.5
2023,per 100 000 population,мужчина,35-59 лет,2.7
2023,per 100 000 population,мужчина,60 лет и старше,0.0
2023,per 100 000 population,женщина,15-34 лет,0.3
2023,per 100 000 population,женщина,35-59 лет,0.2
2023,per 100 000 population,женщина,60 лет и старше,0.2
2024,per 100 000 population,всего,15-34 лет,1.1
2024,per 100 000 population,всего,35-59 лет,0.7
2024,per 100 000 population,всего,60 лет и старше,0.5
2024,per 100 000 population,мужчина,15-34 лет,2.1
2024,per 100 000 population,мужчина,35-59 лет,1.3
2024,per 100 000 population,мужчина,60 лет и старше,1.3
2024,per 100 000 population,женщина,15-34 лет,0.0
2024,per 100 000 population,женщина,35-59 лет,0.2
2024,per 100 000 population,женщина,60 лет и старше,0.0
