Year,Units,разделение,Value
2020,%,,102.1
2020,%,государственные услуги общего характера,95.2
2020,%,защита,125.9
2020,%,"общественный порядок, безопасность и судебная деятельность",99.3
2020,%,экономические отношения,64.3
2020,%,защита окружающей среды,36.0
2020,%,жилищное строительство и коммунальние услуги,38.8
2020,%,здоровье,130.3
2020,%,"отдых, культура и религия",108.7
2020,%,образование,89.3
2020,%,социальная защита,111.1
2021,%,,108.3
2021,%,государственные услуги общего характера,95.9
2021,%,защита,107.6
2021,%,"общественный порядок, безопасность и судебная деятельность",102.2
2021,%,экономические отношения,101.9
2021,%,защита окружающей среды,55.9
2021,%,жилищное строительство и коммунальние услуги,64.9
2021,%,здоровье,136.5
2021,%,"отдых, культура и религия",99.5
2021,%,образование,97.1
2021,%,социальная защита,122.8
2022,%,,102.7
2022,%,государственные услуги общего характера,94.7
2022,%,защита,138.4
2022,%,"общественный порядок, безопасность и судебная деятельность",114.7
2022,%,экономические отношения,83.1
2022,%,защита окружающей среды,69.7
2022,%,жилищное строительство и коммунальние услуги,59.1
2022,%,здоровье,116.1
2022,%,"отдых, культура и религия",133.8
2022,%,образование,85.7
2022,%,социальная защита,105.7
2023,%,,98.3
2023,%,государственные услуги общего характера,101.8
2023,%,защита,101.0
2023,%,"общественный порядок, безопасность и судебная деятельность",102.4
2023,%,экономические отношения,83.2
2023,%,защита окружающей среды,82.1
2023,%,жилищное строительство и коммунальние услуги,57.4
2023,%,здоровье,94.8
2023,%,"отдых, культура и религия",118.9
2023,%,образование,86.6
2023,%,социальная защита,108.0
