Year,Series,Units,Value
2015,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,57.0
2016,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,55.0
2017,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,52.0
2018,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,50.0
2019,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,
2020,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,59.0
2021,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,
2022,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,60.0
2023,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,
2024,Реестр открытых данных (ODIN) Индекс охвата,Индекс от 0 до 100,63.0
