Year,Units,Категория,Value
2015,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
2016,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
2017,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
2018,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
2019,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
2015,%,достигли 100-процентной регистрации рождений,96.6
2015,%,достигли 80 процентов регистрации смерти,84.0
2020,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
2021,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
2022,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
2023,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
2024,"да=1, нет=0",провели по крайней мере одну перепись населения и жилищного фонда за последние 10 лет,1.0
