Year,Units,Пол,Возраст,Value
2015,%,,,59.1
2016,%,,,64.3
2017,%,,,64.7
2018,%,,,68.2
2019,%,,,66.5
2020,%,,,76.5
2015,%,мужчина,,60.8
2016,%,мужчина,,65.5
2017,%,мужчина,,66.3
2018,%,мужчина,,69.9
2019,%,мужчина,,65.8
2020,%,мужчина,,74.9
2015,%,женщина,,57.8
2016,%,женщина,,63.4
2017,%,женщина,,63.4
2018,%,женщина,,66.9
2019,%,женщина,,67.2
2020,%,женщина,,78.1
2015,%,,0-5 лет,24.6
2016,%,,0-5 лет,25.0
2017,%,,0-5 лет,21.7
2018,%,,0-5 лет,26.4
2019,%,,0-5 лет,25.6
2020,%,,0-5 лет,24.6
2015,%,,5-14 лет,62.2
2016,%,,5-14 лет,68.4
2017,%,,5-14 лет,69.5
2018,%,,5-14 лет,70.7
2019,%,,5-14 лет,73.3
2020,%,,5-14 лет,85.2
2015,%,,15-24 лет,78.3
2016,%,,15-24 лет,81.9
2017,%,,15-24 лет,94.2
2018,%,,15-24 лет,95.0
2019,%,,15-24 лет,83.0
2020,%,,15-24 лет,87.2
2015,%,,25 и более лет,58.6
2016,%,,25 и более лет,64.2
2017,%,,25 и более лет,88.2
2018,%,,25 и более лет,92.0
2019,%,,25 и более лет,66.1
2020,%,,25 и более лет,77.2
