Year,Units,Возраст,Место нахождения,Value
2015,"на 1,000 женщин",10-14 лет,всего,0.03
2015,"на 1,000 женщин",10-14 лет,город,0.04
2015,"на 1,000 женщин",10-14 лет,село,0.0
2015,"на 1,000 женщин",15-19 лет,всего,24.3
2015,"на 1,000 женщин",15-19 лет,город,18.5
2015,"на 1,000 женщин",15-19 лет,село,32.6
2016,"на 1,000 женщин",10-14 лет,всего,0.05
2016,"на 1,000 женщин",10-14 лет,город,0.04
2016,"на 1,000 женщин",10-14 лет,село,0.06
2016,"на 1,000 женщин",15-19 лет,всего,24.0
2016,"на 1,000 женщин",15-19 лет,город,18.1
2016,"на 1,000 женщин",15-19 лет,село,32.7
2017,"на 1,000 женщин",10-14 лет,всего,0.02
2017,"на 1,000 женщин",10-14 лет,город,0.04
2017,"на 1,000 женщин",10-14 лет,село,0.0
2017,"на 1,000 женщин",15-19 лет,всего,21.1
2017,"на 1,000 женщин",15-19 лет,город,14.4
2017,"на 1,000 женщин",15-19 лет,село,31.1
2018,"на 1,000 женщин",10-14 лет,всего,0.05
2018,"на 1,000 женщин",10-14 лет,город,0.06
2018,"на 1,000 женщин",10-14 лет,село,0.03
2018,"на 1,000 женщин",15-19 лет,всего,18.9
2018,"на 1,000 женщин",15-19 лет,город,13.5
2018,"на 1,000 женщин",15-19 лет,село,27.4
2019,"на 1,000 женщин",10-14 лет,всего,0.03
2019,"на 1,000 женщин",10-14 лет,город,0.05
2019,"на 1,000 женщин",10-14 лет,село,0.0
2019,"на 1,000 женщин",15-19 лет,всего,16.7
2019,"на 1,000 женщин",15-19 лет,город,11.9
2019,"на 1,000 женщин",15-19 лет,село,24.4
2020,"на 1,000 женщин",10-14 лет,всего,0.0
2020,"на 1,000 женщин",10-14 лет,город,0.0
2020,"на 1,000 женщин",10-14 лет,село,0.0
2020,"на 1,000 женщин",15-19 лет,всего,13.9
2020,"на 1,000 женщин",15-19 лет,город,11.1
2020,"на 1,000 женщин",15-19 лет,село,18.5
2021,"на 1,000 женщин",10-14 лет,всего,0.02
2021,"на 1,000 женщин",10-14 лет,город,0.03
2021,"на 1,000 женщин",10-14 лет,село,0.0
2021,"на 1,000 женщин",15-19 лет,всего,12.7
2021,"на 1,000 женщин",15-19 лет,город,8.6
2021,"на 1,000 женщин",15-19 лет,село,19.6
2022,"на 1,000 женщин",10-14 лет,всего,0.0
2022,"на 1,000 женщин",10-14 лет,город,0.0
2022,"на 1,000 женщин",10-14 лет,село,0.0
2022,"на 1,000 женщин",15-19 лет,всего,11.4
2022,"на 1,000 женщин",15-19 лет,город,6.4
2022,"на 1,000 женщин",15-19 лет,село,19.8
2023,"на 1,000 женщин",10-14 лет,всего,0.0
2023,"на 1,000 женщин",10-14 лет,город,0.0
2023,"на 1,000 женщин",10-14 лет,село,0.0
2023,"на 1,000 женщин",15-19 лет,всего,10.6
2023,"на 1,000 женщин",15-19 лет,город,5.8
2023,"на 1,000 женщин",15-19 лет,село,18.8
2024,"на 1,000 женщин",10-14 лет,всего,0.0
2024,"на 1,000 женщин",10-14 лет,город,0.0
2024,"на 1,000 женщин",10-14 лет,село,0.0
2024,"на 1,000 женщин",15-19 лет,всего,9.1
2024,"на 1,000 женщин",15-19 лет,город,4.7
2024,"на 1,000 женщин",15-19 лет,село,16.8
