Year,Units,Пол,Value
2015,"на 100,000 населения",Total,0.3
2016,"на 100,000 населения",Total,0.2
2017,"на 100,000 населения",Total,0.3
2015,случаи,Total,8.0
2016,случаи,Total,7.0
2017,случаи,Total,10.0
2018,"на 100,000 населения",Total,0.6
2018,случаи,Total,19.0
2019,"на 100,000 населения",Total,1.0
2019,случаи,Total,30.0
2020,"на 100,000 населения",Total,0.3
2020,случаи,Total,10.0
2021,"на 100,000 населения",Total,0.7
2021,случаи,Total,20.0
2015,"на 100,000 населения",man,0.3
2015,случаи,man,5.0
2015,"на 100,000 населения",woman,0.2
2015,случаи,woman,3.0
2016,случаи,man,4.0
2016,"на 100,000 населения",man,0.3
2016,случаи,woman,3.0
2016,"на 100,000 населения",woman,0.2
2017,случаи,man,6.0
2017,"на 100,000 населения",man,0.4
2017,случаи,woman,4.0
2017,"на 100,000 населения",woman,0.3
2018,случаи,man,15.0
2018,"на 100,000 населения",man,1.1
2018,случаи,woman,4.0
2018,"на 100,000 населения",woman,0.3
2019,случаи,man,19.0
2019,"на 100,000 населения",man,1.4
2019,случаи,woman,11.0
2019,"на 100,000 населения",woman,0.7
2020,случаи,man,8.0
2020,"на 100,000 населения",man,0.6
2020,случаи,woman,2.0
2020,"на 100,000 населения",woman,0.1
2021,случаи,man,12.0
2021,"на 100,000 населения",man,0.9
2021,случаи,woman,8.0
2021,"на 100,000 населения",woman,0.5
