Year,Units,Пол,Value
2015,%,,90.6
2016,%,,90.7
2017,%,,89.3
2018,%,,89.2
2019,%,,87.72
2020,%,,87.01
2015,%,мужчина,89.5
2016,%,мужчина,90.1
2017,%,мужчина,88.6
2018,%,мужчина,87.84
2019,%,мужчина,86.71
2020,%,мужчина,85.94
2015,%,женщина,91.9
2016,%,женщина,91.4
2017,%,женщина,91.1
2018,%,женщина,90.81
2019,%,женщина,88.87
2020,%,женщина,88.22
2021,%,,87.9
2021,%,мужчина,86.17
2021,%,женщина,89.88
2022,%,,87.4
2022,%,мужчина,87.0
2022,%,женщина,87.9
2023,%,,101.8
2023,%,мужчина,101.0
2023,%,женщина,102.8
