Year,Units,Уровень образования,Value
2013,%,Начальное,99.4
2013,%,Среднее,97.5
2013,%,Высшее,88.8
2014,%,Начальное,99.4
2014,%,Среднее,97.6
2014,%,Высшее,88.9
2015,%,Начальное,99.4
2015,%,Среднее,97.6
2015,%,Высшее,89.0
2016,%,Начальное,99.4
2016,%,Среднее,97.6
2016,%,Высшее,89.2
2017,%,Начальное,99.4
2017,%,Среднее,97.7
2017,%,Высшее,89.3
2018,%,Начальное,99.4
2018,%,Среднее,97.7
2018,%,Высшее,89.3
2019,%,Начальное,99.4
2019,%,Среднее,97.7
2019,%,Высшее,89.6
2020,%,Начальное,99.4
2020,%,Среднее,97.8
2020,%,Высшее,89.7
2021,%,Начальное,99.5
2021,%,Среднее,97.8
2021,%,Высшее,89.9
