Year,Units,Место нахождения,Value
2015,%,,97.3
2016,%,,97.9
2017,%,,97.3
2018,%,,97.9
2019,%,,96.1
2020,%,,95.5
2021,%,,96.3
2015,%,город,99.9
2016,%,город,100.0
2017,%,город,99.9
2018,%,город,99.7
2019,%,город,99.5
2020,%,город,99.7
2021,%,город,99.9
2015,%,село,92.5
2016,%,село,94.0
2017,%,село,93.3
2018,%,село,94.4
2019,%,село,90.6
2020,%,село,89.6
2021,%,село,89.6
2022,%,,95.6
2022,%,город,99.7
2022,%,село,88.1
2023,%,,95.0
2023,%,город,99.2
2023,%,село,87.3
2024,%,,96.3
2024,%,город,99.9
2024,%,село,87.8
