Year,Тип,Units,Value
2015,ALL RENEWABLES,Millions of constant United States dollars,24.72
2015,BIOENERGY,Millions of constant United States dollars,0.0
2015,GEOTHERMAL ENERGY,Millions of constant United States dollars,9.75
2015,HYDROPOWER,Millions of constant United States dollars,14.87
2015,MULTIPLE RENEWABLES,Millions of constant United States dollars,0.1
2015,SOLAR ENERGY,Millions of constant United States dollars,0.0
2016,ALL RENEWABLES,Millions of constant United States dollars,126.49
2016,BIOENERGY,Millions of constant United States dollars,0.0
2016,GEOTHERMAL ENERGY,Millions of constant United States dollars,0.0
2016,HYDROPOWER,Millions of constant United States dollars,73.16
2016,MULTIPLE RENEWABLES,Millions of constant United States dollars,3.4
2016,SOLAR ENERGY,Millions of constant United States dollars,49.93
2017,ALL RENEWABLES,Millions of constant United States dollars,1.63
2017,BIOENERGY,Millions of constant United States dollars,0.09
2017,GEOTHERMAL ENERGY,Millions of constant United States dollars,0.0
2017,HYDROPOWER,Millions of constant United States dollars,1.46
2017,MULTIPLE RENEWABLES,Millions of constant United States dollars,0.08
2017,SOLAR ENERGY,Millions of constant United States dollars,0.0
2018,ALL RENEWABLES,Millions of constant United States dollars,29.37
2018,BIOENERGY,Millions of constant United States dollars,0.0
2018,GEOTHERMAL ENERGY,Millions of constant United States dollars,0.0
2018,HYDROPOWER,Millions of constant United States dollars,0.0
2018,MULTIPLE RENEWABLES,Millions of constant United States dollars,0.05
2018,SOLAR ENERGY,Millions of constant United States dollars,29.32
2019,ALL RENEWABLES,Millions of constant United States dollars,56.91
2019,BIOENERGY,Millions of constant United States dollars,0.0
2019,GEOTHERMAL ENERGY,Millions of constant United States dollars,0.0
2019,HYDROPOWER,Millions of constant United States dollars,0.0
2019,MULTIPLE RENEWABLES,Millions of constant United States dollars,56.88
2019,SOLAR ENERGY,Millions of constant United States dollars,0.03
2020,ALL RENEWABLES,Millions of constant United States dollars,26.98
2020,BIOENERGY,Millions of constant United States dollars,0.0
2020,GEOTHERMAL ENERGY,Millions of constant United States dollars,0.0
2020,HYDROPOWER,Millions of constant United States dollars,0.0
2020,MULTIPLE RENEWABLES,Millions of constant United States dollars,16.97
2020,SOLAR ENERGY,Millions of constant United States dollars,10.01
2021,ALL RENEWABLES,Millions of constant United States dollars,63.99
2021,BIOENERGY,Millions of constant United States dollars,0.0
2021,GEOTHERMAL ENERGY,Millions of constant United States dollars,0.0
2021,HYDROPOWER,Millions of constant United States dollars,0.0
2021,MULTIPLE RENEWABLES,Millions of constant United States dollars,63.85
2021,SOLAR ENERGY,Millions of constant United States dollars,0.14
2022,ALL RENEWABLES,Millions of constant United States dollars,1.13
2022,BIOENERGY,Millions of constant United States dollars,0.0
2022,GEOTHERMAL ENERGY,Millions of constant United States dollars,0.0
2022,HYDROPOWER,Millions of constant United States dollars,0.0
2022,MULTIPLE RENEWABLES,Millions of constant United States dollars,0.12
2022,SOLAR ENERGY,Millions of constant United States dollars,1.01
2023,ALL RENEWABLES,Millions of constant United States dollars,20.58
2023,BIOENERGY,Millions of constant United States dollars,0.0
2023,GEOTHERMAL ENERGY,Millions of constant United States dollars,0.0
2023,HYDROPOWER,Millions of constant United States dollars,0.0
2023,MULTIPLE RENEWABLES,Millions of constant United States dollars,19.59
2023,SOLAR ENERGY,Millions of constant United States dollars,0.99
