Year,Units,Категория,Value
2015,млн. драм,материальное потребление,2773103.4
2016,млн. драм,материальное потребление,2732252.3
2017,млн. драм,материальное потребление,3120625.2
2018,млн. драм,материальное потребление,3378262.0
2019,млн. драм,материальное потребление,3840591.8
2020,млн. драм,материальное потребление,3277167.4
2015,драм,внутреннее материальное потребление на душу населения,928266.5
2016,драм,внутреннее материальное потребление на душу населения,920322.1
2017,драм,внутреннее материальное потребление на душу населения,1057946.7
2018,драм,внутреннее материальное потребление на душу населения,1151379.3
2019,драм,внутреннее материальное потребление на душу населения,1313786.4
2020,драм,внутреннее материальное потребление на душу населения,1122010.2
2015,%,внутреннее материальное потребление к ВВП,55.0
2016,%,внутреннее материальное потребление к ВВП,53.9
2017,%,внутреннее материальное потребление к ВВП,56.1
2018,%,внутреннее материальное потребление к ВВП,56.1
2019,%,внутреннее материальное потребление к ВВП,58.7
2020,%,внутреннее материальное потребление к ВВП,53.0
2021,млн. драм,материальное потребление,3513718.1
2021,драм,внутреннее материальное потребление на душу населения,1202669.1
2021,%,внутреннее материальное потребление к ВВП,50.3
2022,млн. драм,материальное потребление,3999106.0
2022,драм,внутреннее материальное потребление на душу населения,1365068.9
2022,%,внутреннее материальное потребление к ВВП,47.0
2023,млн. драм,материальное потребление,4428850.6
2023,драм,внутреннее материальное потребление на душу населения,1494062.9
2023,%,внутреннее материальное потребление к ВВП,46.7
2024,млн. драм,материальное потребление,4953334.6
2024,драм,внутреннее материальное потребление на душу населения,1632770.1
2024,%,внутреннее материальное потребление к ВВП,48.3
2025,млн. драм,материальное потребление,5679500.3
2025,драм,внутреннее материальное потребление на душу населения,1840050.6
2025,%,внутреннее материальное потребление к ВВП,50.1
