Year,Units,Пол,Value
2015,драм,,171615
2016,драм,,174445
2017,драм,,177817
2018,драм,,172727
2019,драм,,182673
2020,драм,,189716
2015,драм,мужчина,203657
2016,драм,мужчина,209271
2017,драм,мужчина,211720
2018,драм,мужчина,210783
2019,драм,мужчина,222510
2020,драм,мужчина,231520
2015,драм,женщина,135492
2016,драм,женщина,138901
2017,драм,женщина,143016
2018,драм,женщина,136363
2019,драм,женщина,145198
2020,драм,женщина,150306
2021,драм,,204048
2021,драм,женщина,161421
2021,драм,мужчина,250186
2022,драм,,235576
2022,драм,женщина,179882
2022,драм,мужчина,295778
2023,драм,,269994
2023,драм,женщина,202524
2023,драм,мужчина,341388
