Year,Units,Категория,Возраст,Пол,Место нахождения,Value
2015,%,всего,15-29 лет,,,34.5
2016,%,всего,15-29 лет,,,34.6
2017,%,всего,15-29 лет,,,34.6
2018,%,всего,15-29 лет,,,32.7
2019,%,всего,15-29 лет,,,31.0
2020,%,всего,15-29 лет,,,31.0
2015,%,,15-29 лет,мужчина,,23.5
2016,%,,15-29 лет,мужчина,,22.7
2017,%,,15-29 лет,мужчина,,23.4
2018,%,,15-29 лет,мужчина,,21.2
2019,%,,15-29 лет,мужчина,,20.8
2020,%,,15-29 лет,мужчина,,22.6
2015,%,,15-29 лет,женщина,,44.6
2016,%,,15-29 лет,женщина,,46.5
2017,%,,15-29 лет,женщина,,45.9
2018,%,,15-29 лет,женщина,,44.0
2019,%,,15-29 лет,женщина,,41.6
2020,%,,15-29 лет,женщина,,39.9
2015,%,,15-29 лет,,город,36.1
2016,%,,15-29 лет,,город,35.7
2017,%,,15-29 лет,,город,35.9
2018,%,,15-29 лет,,город,30.8
2019,%,,15-29 лет,,город,30.2
2020,%,,15-29 лет,,город,28.0
2015,%,,15-29 лет,,село,32.2
2016,%,,15-29 лет,,село,32.9
2017,%,,15-29 лет,,село,32.7
2018,%,,15-29 лет,,село,34.9
2019,%,,15-29 лет,,село,32.2
2020,%,,15-29 лет,,село,34.9
2015,%,всего,15-19 лет,,,13.1
2016,%,всего,15-19 лет,,,14.2
2017,%,всего,15-19 лет,,,15.6
2018,%,всего,15-19 лет,,,11.3
2019,%,всего,15-19 лет,,,8.6
2020,%,всего,15-19 лет,,,9.5
2015,%,,15-19 лет,мужчина,,9.8
2016,%,,15-19 лет,мужчина,,11.3
2017,%,,15-19 лет,мужчина,,12.0
2018,%,,15-19 лет,мужчина,,7.3
2019,%,,15-19 лет,мужчина,,5.4
2020,%,,15-19 лет,мужчина,,6.8
2015,%,,15-19 лет,женщина,,16.6
2016,%,,15-19 лет,женщина,,17.7
2017,%,,15-19 лет,женщина,,20.2
2018,%,,15-19 лет,женщина,,14.9
2019,%,,15-19 лет,женщина,,12.3
2020,%,,15-19 лет,женщина,,12.4
2015,%,,15-19 лет,,город,14.0
2016,%,,15-19 лет,,город,13.4
2017,%,,15-19 лет,,город,14.8
2018,%,,15-19 лет,,город,9.5
2019,%,,15-19 лет,,город,6.7
2020,%,,15-19 лет,,город,10.2
2015,%,,15-19 лет,,село,12.0
2016,%,,15-19 лет,,село,15.1
2017,%,,15-19 лет,,село,16.4
2018,%,,15-19 лет,,село,13.2
2019,%,,15-19 лет,,село,10.9
2020,%,,15-19 лет,,село,8.5
2015,%,всего,20-24 лет,,,39.5
2016,%,всего,20-24 лет,,,40.9
2017,%,всего,20-24 лет,,,40.3
2018,%,всего,20-24 лет,,,37.8
2019,%,всего,20-24 лет,,,36.3
2020,%,всего,20-24 лет,,,36.2
2015,%,,20-24 лет,мужчина,,29.3
2016,%,,20-24 лет,мужчина,,27.8
2017,%,,20-24 лет,мужчина,,29.7
2018,%,,20-24 лет,мужчина,,24.6
2019,%,,20-24 лет,мужчина,,29.3
2020,%,,20-24 лет,мужчина,,28.1
2015,%,,20-24 лет,женщина,,48.4
2016,%,,20-24 лет,женщина,,52.7
2017,%,,20-24 лет,женщина,,50.1
2018,%,,20-24 лет,женщина,,50.4
2019,%,,20-24 лет,женщина,,43.5
2020,%,,20-24 лет,женщина,,44.9
2015,%,,20-24 лет,,город,38.8
2016,%,,20-24 лет,,город,41.2
2017,%,,20-24 лет,,город,40.2
2018,%,,20-24 лет,,город,32.3
2019,%,,20-24 лет,,город,31.7
2020,%,,20-24 лет,,город,29.3
2015,%,,20-24 лет,,село,40.4
2016,%,,20-24 лет,,село,40.5
2017,%,,20-24 лет,,село,40.4
2018,%,,20-24 лет,,село,43.7
2019,%,,20-24 лет,,село,42.8
2020,%,,20-24 лет,,село,44.5
2015,%,всего,15-24 лет,,,27.5
2016,%,всего,15-24 лет,,,28.5
2017,%,всего,15-24 лет,,,28.7
2018,%,всего,15-24 лет,,,25.7
2019,%,всего,15-24 лет,,,23.3
2020,%,всего,15-24 лет,,,23.0
2015,%,,15-24 лет,мужчина,,20.0
2016,%,,15-24 лет,мужчина,,19.5
2017,%,,15-24 лет,мужчина,,20.7
2018,%,,15-24 лет,мужчина,,16.8
2019,%,,15-24 лет,мужчина,,17.8
2020,%,,15-24 лет,мужчина,,17.5
2015,%,,15-24 лет,женщина,,34.8
2016,%,,15-24 лет,женщина,,37.8
2017,%,,15-24 лет,женщина,,37.5
2018,%,,15-24 лет,женщина,,34.1
2019,%,,15-24 лет,женщина,,29.3
2020,%,,15-24 лет,женщина,,28.8
2015,%,,15-24 лет,,город,27.7
2016,%,,15-24 лет,,город,28.6
2017,%,,15-24 лет,,город,29.3
2018,%,,15-24 лет,,город,21.9
2019,%,,15-24 лет,,город,20.4
2020,%,,15-24 лет,,город,19.4
2015,%,,15-24 лет,,село,27.3
2016,%,,15-24 лет,,село,28.3
2017,%,,15-24 лет,,село,28.1
2018,%,,15-24 лет,,село,30.0
2019,%,,15-24 лет,,село,27.3
2020,%,,15-24 лет,,село,27.8
2015,%,всего,25-29 лет,,,46.7
2016,%,всего,25-29 лет,,,45.1
2017,%,всего,25-29 лет,,,44.5
2018,%,всего,25-29 лет,,,43.8
2019,%,всего,25-29 лет,,,43.0
2020,%,всего,25-29 лет,,,44.5
2015,%,,25-29 лет,мужчина,,30.1
2016,%,,25-29 лет,мужчина,,28.5
2017,%,,25-29 лет,мужчина,,28.4
2018,%,,25-29 лет,мужчина,,27.7
