Year,Value,Units,Series
2015,0.283,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП
2016,0.196,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП
2017,0.184,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП
2018,0.035,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП
2019,0.032,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП
2020,0.092,%,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП
2015,0.032,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство)
2016,0.022,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство)
2017,0.022,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство)
2018,0.004,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство)
2019,0.004,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство)
2020,0.012,миллиарды номинальных долларов США,Субсидии на ископаемое топливо (потребление и производство)
2015,10.8,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения
2016,7.5,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения
2017,7.6,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения
2018,1.5,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения
2019,1.5,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения
2020,4.0,номинальные доллары США,Субсидии на ископаемое топливо (потребление и производство) на душу населения
