Year,Value,Units
2015,21.6,"Отделения банков на 100,000 взрослых"
2016,21.9,"Отделения банков на 100,000 взрослых"
2017,22.1,"Отделения банков на 100,000 взрослых"
2018,22.7,"Отделения банков на 100,000 взрослых"
2019,23.3,"Отделения банков на 100,000 взрослых"
2020,23.6,"Отделения банков на 100,000 взрослых"
2021,23.4,"Отделения банков на 100,000 взрослых"
2022,23.4,"Отделения банков на 100,000 взрослых"
2015,58.8,"Банкоматы на 100,000 взрослых"
2016,58.6,"Банкоматы на 100,000 взрослых"
2017,61.1,"Банкоматы на 100,000 взрослых"
2018,64.9,"Банкоматы на 100,000 взрослых"
2019,67.9,"Банкоматы на 100,000 взрослых"
2020,67.8,"Банкоматы на 100,000 взрослых"
2021,70.5,"Банкоматы на 100,000 взрослых"
2022,69.6,"Банкоматы на 100,000 взрослых"
