Year,Units,Category,Age,Location,Value
2015,%,total,15-24,,99.7
2015,%,,15-24,urban,99.8
2015,%,,15-24,rural,99.6
2015,%,male,15-24,,99.6
2015,%,female,15-24,,99.8
2015,%,total,15+,,99.4
2015,%,,15+,urban,99.6
2015,%,,15+,rural,99.1
2015,%,male,15+,,99.5
2015,%,female,15+,,99.3
2022,%,total,15-24,,99.5
2022,%,,15-24,urban,99.6
2022,%,,15-24,rural,99.5
2022,%,male,15-24,,99.5
2022,%,female,15-24,,99.5
2022,%,total,15+,,99.6
2022,%,,15+,urban,99.7
2022,%,,15+,rural,99.6
2022,%,male,15+,,99.6
2022,%,female,15+,,99.6
