Year,Units,Value
2015.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q6,0.0
,Q7,0.0
,Q8,0.0
,Score,3.6
2016.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q6,0.0
,Q7,0.0
,Q8,0.0
,Score,3.6
2017.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q6,0.0
,Q7,0.0
,Q7,0.0
,Score,3.6
2018.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q6,0.0
,Q7,0.0
,Q8,0.0
,Score,3.6
2019.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q6,0.0
,Q7,0.0
,Q8,0.0
,Score,3.6
2020.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q6,0.0
,Q7,0.0
,Q8,0.0
,Score,3.6
2021.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q6,0.0
,Q7,0.0
,Q8,0.0
,Score,3.6
2022.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q6,0.0
,Q7,0.0
,Q8,0.0
,Score,3.6
2023.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q6,0.0
,Q7,0.0
,Q8,0.0
,Score,3.6
2024.0,,
,Q1,1.0
,Q2,0.0
,Q3,1.0
,Q4,0.6
,Q5,1.0
,Q5,0.0
,Q7,0.0
,Q8,0.0
,Score,3.6
