Year,Units,Category,Value
2017,number,Plant genetic resources accessions stored ex situ,6918
2018,number,Plant genetic resources accessions stored ex situ,6918
2019,number,Plant genetic resources accessions stored ex situ,6918
2023,number,Plant genetic resources accessions stored ex situ,6830
2024,number,Plant genetic resources accessions stored ex situ,6830
2016,number,Plant genetic resources accessions stored ex situ,6789
2021,number,Plant genetic resources accessions stored ex situ,6458
2022,number,Plant genetic resources accessions stored ex situ,6458
2020,number,Plant genetic resources accessions stored ex situ,4297
2015,number,Number of transboundary breeds (including extinct ones),25
2016,number,Number of transboundary breeds (including extinct ones),25
2017,number,Number of transboundary breeds (including extinct ones),25
2018,number,Number of transboundary breeds (including extinct ones),25
2019,number,Number of transboundary breeds (including extinct ones),25
2020,number,Number of transboundary breeds (including extinct ones),25
2021,number,Number of transboundary breeds (including extinct ones),25
2022,number,Number of transboundary breeds (including extinct ones),25
2023,number,Number of transboundary breeds (including extinct ones),25
2024,number,Number of transboundary breeds (including extinct ones),25
2025,number,Number of transboundary breeds (including extinct ones),25
2015,number,Number of local breeds kept in the country,14
2016,number,Number of local breeds kept in the country,14
2017,number,Number of local breeds kept in the country,14
2018,number,Number of local breeds kept in the country,14
2019,number,Number of local breeds kept in the country,14
2020,number,Number of local breeds kept in the country,14
2021,number,Number of local breeds kept in the country,14
2022,number,Number of local breeds kept in the country,14
2023,number,Number of local breeds kept in the country,14
2024,number,Number of local breeds kept in the country,14
2025,number,Number of local breeds kept in the country,14
