Year,Series,Units,Value
2015,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,47.3
2016,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,52.2
2017,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,72.5
2018,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,69.7
2019,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,49.0
2020,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,23.3
2021,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,26.5
2022,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,13.0
2023,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,28.8
2024,Proportion of insufficiently treated wastewater in the total volume of wastewater requiring treatment,%,30.2
2020,Total wastewater generated,million m3/year,777.1
2021,Total wastewater generated,million m3/year,802.6
2022,Total wastewater generated,million m3/year,888.3
2023,Total wastewater generated,million m3/year,721.9
2024,Total wastewater generated,million m3/year,815.2
