Year,Units,Category,Value
2015,mln. dram,domestic material consumption,2773103.4
2016,mln. dram,domestic material consumption,2732252.3
2017,mln. dram,domestic material consumption,3120625.2
2018,mln. dram,domestic material consumption,3378262.0
2019,mln. dram,domestic material consumption,3840591.8
2020,mln. dram,domestic material consumption,3277167.4
2015,dram,domestic material consumption per capita,922952.6
2016,dram,domestic material consumption per capita,913094.4
2017,dram,domestic material consumption per capita,1047400.6
2018,dram,domestic material consumption per capita,1137845.1
2019,dram,domestic material consumption per capita,1296402.3
2020,dram,domestic material consumption per capita,1106590.4
2015,%,domestic material consumption per GDP,55.0
2016,%,domestic material consumption per GDP,53.9
2017,%,domestic material consumption per GDP,56.1
2018,%,domestic material consumption per GDP,56.1
2019,%,domestic material consumption per GDP,58.7
2020,%,domestic material consumption per GDP,53.0
2021,mln. dram,domestic material consumption,3513718.1
2021,dram,domestic material consumption per capita,1186145.3
2021,%,domestic material consumption per GDP,50.3
2022,mln. dram,domestic material consumption,3999106.0
2022,dram,domestic material consumption per capita,1365068.9
2022,%,domestic material consumption per GDP,47.0
2023,mln. dram,domestic material consumption,4428850.6
2023,dram,domestic material consumption per capita,1494062.9
2023,%,domestic material consumption per GDP,46.7
2024,mln. dram,domestic material consumption,4899844.8
2024,dram,domestic material consumption per capita,1615138.2
2024,%,domestic material consumption per GDP,48.1
2025,mln. dram,domestic material consumption,5662020.4
2025,dram,domestic material consumption per capita,1834328.0
2025,%,domestic material consumption per GDP,50.0
