Year,Value,Units,Series
2010,52.917,µg/m3,All area
2011,56.662,µg/m3,All area
2012,52.872,µg/m3,All area
2013,47.439,µg/m3,All area
2014,42.963,µg/m3,All area
2015,47.511,µg/m3,All area
2016,41.97,µg/m3,All area
2017,39.128,µg/m3,All area
2018,38.466,µg/m3,All area
2019,40.66,µg/m3,All area
2020,35.253,µg/m3,All area
2021,37.388,µg/m3,All area
2022,34.045,µg/m3,All area
2023,30.108,µg/m3,All area
2010,60.099,µg/m3,City
2011,64.869,µg/m3,City
2012,60.722,µg/m3,City
2013,54.279,µg/m3,City
2014,49.207,µg/m3,City
2015,54.62,µg/m3,City
2016,47.845,µg/m3,City
2017,45.017,µg/m3,City
2018,44.307,µg/m3,City
2019,46.7,µg/m3,City
2020,40.957,µg/m3,City
2021,42.816,µg/m3,City
2022,39.399,µg/m3,City
2023,34.882,µg/m3,City
2010,35.842,µg/m3,rural
2011,38.565,µg/m3,rural
2012,35.92,µg/m3,rural
2013,32.191,µg/m3,rural
2014,29.167,µg/m3,rural
2015,32.324,µg/m3,rural
2016,28.575,µg/m3,rural
2017,26.728,µg/m3,rural
2018,26.206,µg/m3,rural
2019,27.925,µg/m3,rural
2020,24.179,µg/m3,rural
2021,25.602,µg/m3,rural
2022,23.45,µg/m3,rural
2023,20.842,µg/m3,rural
2010,48.344,µg/m3,Town and semi-dense area
2011,51.621,µg/m3,Town and semi-dense area
2012,48.41,µg/m3,Town and semi-dense area
2013,43.399,µg/m3,Town and semi-dense area
2014,39.414,µg/m3,Town and semi-dense area
2015,43.547,µg/m3,Town and semi-dense area
2016,38.626,µg/m3,Town and semi-dense area
2017,36.234,µg/m3,Town and semi-dense area
2018,35.421,µg/m3,Town and semi-dense area
2019,37.785,µg/m3,Town and semi-dense area
2020,32.739,µg/m3,Town and semi-dense area
2021,34.722,µg/m3,Town and semi-dense area
2022,31.62,µg/m3,Town and semi-dense area
2023,28.117,µg/m3,Town and semi-dense area
2010,55.163,µg/m3,urban
2011,59.205,µg/m3,urban
2012,55.482,µg/m3,urban
2013,49.482,µg/m3,urban
2014,44.765,µg/m3,urban
2015,49.419,µg/m3,urban
2016,43.599,µg/m3,urban
2017,41.063,µg/m3,urban
2018,40.152,µg/m3,urban
2019,42.462,µg/m3,urban
2020,36.771,µg/m3,urban
2021,39.064,µg/m3,urban
2022,35.483,µg/m3,urban
2023,31.531,µg/m3,urban
